,n,autodiff_mode,exp_type,error,time,log_error,log_time,exp_and_mode
221,3,for,yield,1427.1929424693308,1.444362101,3.1544826894324096,0.15967608433627056,yield_for
222,3,for,yield,21.72761306375962,1.504671601,1.3370120185351304,0.17744172422471138,yield_for
223,3,for,yield,532.7422985323304,1.482963101,2.7265171801523826,0.1711303450732552,yield_for
224,3,for,yield,524.6672615899533,1.349218101,2.719883965752724,0.13008215901559572,yield_for
225,3,for,yield,103.30023456603048,1.388960302,2.0141013076824184,0.14268983330513313,yield_for
226,3,for,yield,2.161840373991715,1.430392103,0.3348236233573922,0.1554551037777717,yield_for
227,3,for,yield,10.280916657311531,1.485790504,1.012031838537097,0.17195757835405598,yield_for
228,3,for,yield,310.43635146656885,1.488570803,2.491972570566102,0.17276949643716286,yield_for
229,3,for,yield,50.21381881215133,1.426440203,1.7008232511687755,0.15425357055919872,yield_for
230,3,for,yield,105.84171196678986,1.72112401,2.0246568558555316,0.23581216313314637,yield_for
231,3,for,yield,37.55638758390804,1.786258218,1.5746838123527571,0.2519442398529621,yield_for
232,3,for,yield,585.8084023667034,1.821768319,2.7677555965625893,0.26049314531669526,yield_for
233,3,for,yield,286.42570559486967,1.740742718,2.4570119916282662,0.24073458707953954,yield_for
234,3,for,yield,103.00803214896396,2.18471732,2.012871090549511,0.3393952516926394,yield_for
235,3,for,yield,529.1501186195068,1.680120506,2.72357889781832,0.22534043244844268,yield_for
236,3,for,yield,100.79522975129802,1.628809806,2.0034399791163477,0.21187037526795532,yield_for
237,3,for,yield,20.446998725189623,1.627178506,1.3106295699108208,0.21143519886084322,yield_for
238,3,for,yield,147.87018662822203,1.463373105,2.1698806210014974,0.16535506897164964,yield_for
239,3,for,yield,56.11921716349673,1.480310006,1.749111604196221,0.17035267471703933,yield_for
240,3,for,yield,335.38329973392786,1.424449208,2.5255414333029402,0.15364696808683534,yield_for
241,3,for,yield,447.4039730449145,1.56641501,2.650699836407507,0.19490683605823308,yield_for
242,3,for,yield,4.483556019565528,1.497365209,0.6516226003994557,0.17532773815835367,yield_for
243,3,for,yield,54.662391279290894,1.503808409,1.737688626564192,0.17719250898547823,yield_for
244,3,for,yield,9.771220397433662,1.476599609,0.9899488092429602,0.16926274908633446,yield_for
245,3,for,yield,200.67973399029674,1.849055518,2.3025035166798977,0.2669499510721385,yield_for
246,3,for,yield,112.12241527382986,1.442747382,2.0496924445002955,0.15919029491347791,yield_for
247,3,for,yield,491.1007072565433,1.410385482,2.69117055957936,0.14933782884335056,yield_for
248,3,for,yield,17.3872125198179,1.445844582,1.2402299624342434,0.16012161190222463,yield_for
249,3,for,yield,40.333780670990095,1.359002483,1.605668932337247,0.13322025022198178,yield_for
250,3,for,yield,128.25101017475052,1.489043982,2.108060794537009,0.1729075257292107,yield_for
251,3,for,yield,93.90730562760909,1.287546286,1.9726993800226464,0.1097628504457071,yield_for
252,3,for,yield,196.67109383780522,1.172460988,2.293740533232763,0.06909840108588668,yield_for
253,3,for,yield,144.13374914598495,1.299169386,2.15876568346318,0.11366577817795204,yield_for
254,3,for,yield,287.12292005801095,1.425838385,2.4580678621496204,0.15407030217756987,yield_for
255,3,for,yield,31.18425193483235,1.501689084,1.4939353304146927,0.17658002382616123,yield_for
256,3,for,yield,126.40212540759032,1.465805684,2.101754376517789,0.16607640143747943,yield_for
